id_lecturer;fio;position;date_employment;date_dismissal;passport;dob
12392;Агеев Сергей Богданович;доцент;13.03.2017;;383 985406;05.05.1987
9587;Александров Арсений Борисович;старший преподаватель;17.04.2010;;4306 257096;09.05.1986
9051;Бирюков Тимофей Ярославович;преподаватель;22.09.2003;25.03.2012;1666 567220;24.09.1987
7867;Большаков Денис Егорович;преподаватель;23.05.2003;;9527 739631;20.03.1989
13773;Воробьева Екатерина Ярославовна;старший преподаватель;19.07.2007;;2176 553494;22.08.1991
10475;Дмитриев Артём Викторович;профессор;12.03.2015;;8470 204699;05.08.1983
9710;Долгова Александра Александровна;старший преподаватель;02.05.2005;18.03.2024;3561 917641;13.05.1991
10965;Дьякова Ольга Ивановна;профессор;16.11.2017;;5539 293990;07.12.1982
11323;Ефремова Виктория Денисовна;профессор;01.12.2003;;8309 795788;21.01.1983
11691;Жданов Максим Маркович;старший преподаватель;13.08.2019;;8518 167213;21.08.1988
14471;Иванов Дмитрий Даниилович;преподаватель;26.03.2024;;7097 764976;31.10.1988
8467;Ильина Анастасия Адамовна;профессор;28.06.2011;;282 321931;25.09.1987
8430;Круглов Марк Артёмович;старший преподаватель;08.01.2013;14.07.2014;6076 283558;04.08.1985
10832;Мартынова София Юрьевна;старший преподаватель;27.02.2013;;7527 332415;05.03.1983
9063;Никитина Ева Артёмовна;доцент;18.11.2005;;7853 522865;12.10.1981
8085;Никонов Александр Никитич;профессор;18.01.2012;;9116 131199;28.02.1982
9137;Носков Глеб Миронович;доцент;02.12.2014;;1814 121230;11.03.1985
13721;Пономарева Алиса Романовна;старший преподаватель;29.03.2020;;9914 809127;16.11.1985
14139;Прохоров Павел Вячеславович;старший преподаватель;17.09.2020;;649 531468;07.04.1987
8798;Савин Степан Евгеньевич;преподаватель;09.01.2024;;5702 606627;07.06.1981
7920;Серебряков Матвей Артурович;преподаватель;02.05.2004;15.05.2006;7619 139078;13.11.1982
14555;Соколова Варвара Михайловна;доцент;18.02.2014;;2225 459234;29.06.1990
7915;Соловьева Елизавета Матвеевна;доцент;04.02.2001;;4733 844682;31.08.1982
11008;Сорокина Екатерина Константиновна;преподаватель;25.02.2008;;2638 797276;30.03.1982
12846;Тимофеева Ульяна Егоровна;профессор;15.03.2003;;928 569476;11.07.1984
13489;Фокина Милана Кирилловна;старший преподаватель;20.08.2007;;3058 186752;14.02.1982
