id_student;fio;dob;passport;student_pass;id_specialty;faculty;id_group;enrollment_date;date_deduction;scientific_director
5004;Александров Антон Захарович;05.06.2007;3008 556554;989040409;66328;Факультет математики;23906;01.09.2022;;Губанов Антон Андреевич
7189;Александрова Алиса Ивановна;13.12.2006;3405 708801;13675078;55528;Факультет математики;11642;01.09.2022;;Захарова Полина Александровна
6942;Алексеева Анастасия Александровна;16.09.2007;7556 111285;599612171;75654;Факультет информатики и вычислительной техники;13806;01.11.2022;;Иванов Михаил Артёмович
6959;Андреева Анна Владимировна;23.12.2006;8290 465301;571818458;66328;Факультет математики;23906;01.11.2022;01.03.2024;Ковалев Михаил Святославович
9388;Андрианов Павел Владимирович;08.08.2007;1254 627954;326049729;78459;Факультет машиностроения;8873;01.11.2021;;Кондратьева Злата Григорьевна
3773;Анисимов Александр Кириллович;20.06.2007;6562 231617;353474436;64346;Факультет информатики и вычислительной техники;5828;01.09.2022;;Коновалова Алиса Александровна
2807;Антонов Арсений Миронович;12.10.2007;4459 500984;322378469;64073;Факультет машиностроения;19455;01.11.2022;;Коршунов Ян Владимирович
3280;Афанасьев Егор Максимович;10.05.2007;3986 671290;25502363;66328;Факультет математики;23906;01.11.2021;;Кузнецова Ирина Сергеевна
6064;Беликова Виктория Арсеньевна;05.03.2007;6617 585474;287639894;75654;Факультет информатики и вычислительной техники;13806;01.11.2022;29.12.2023;Леонтьев Фёдор Максимович
1233;Белоусова Арина Артёмовна;18.10.2007;5211 925877;591215647;64346;Факультет информатики и вычислительной техники;5828;01.09.2021;;Маркова Вероника Данииловна
9600;Беляев Даниил Александрович;13.07.2007;2147 958228;97862786;78459;Факультет машиностроения;8873;01.11.2021;;Маслов Евгений Даниилович
9275;Беляева Екатерина Петровна;28.02.2007;2243 417835;221223737;2478;Факультет экономики;2897;01.11.2021;;Панова Ксения Петровна
7926;Бобров Александр Владиславович;21.02.2007;2580 408054;621955838;2985;Факультет экономики;2897;01.09.2023;01.03.2024;Попова Ева Мирославовна
8117;Богданова Анна Денисовна;30.08.2007;8248 777570;831870147;72819;Факультет математики;16833;01.09.2021;;Фадеева Елизавета Николаевна
3361;Болдырев Михаил Николаевич;12.10.2007;9322 184765;969040836;69744;Факультет математики;14317;01.11.2021;;Швецов Богдан Михайлович
8090;Бочаров Тимур Егорович;24.03.2007;6570 836770;96333052;75654;Факультет информатики и вычислительной техники;13806;01.11.2021;;Юдин Алексей Всеволодович
6424;Вавилов Кирилл Даниилович;19.06.2007;7874 606466;325038958;66328;Факультет математики;23906;01.11.2021;;Иванов Михаил Артёмович
9822;Васильев Дмитрий Арсеньевич;22.11.2006;2799 494081;746738086;66328;Факультет математики;23906;01.09.2023;;Ковалев Михаил Святославович
4291;Винокурова Евгения Александровна;29.06.2007;5317 958366;51875185;66328;Факультет математики;23906;01.11.2021;;Кондратьева Злата Григорьевна
9419;Власова Диана Тимофеевна;08.10.2007;2710 194297;202675484;75654;Факультет информатики и вычислительной техники;13806;01.09.2022;29.12.2023;Коновалова Алиса Александровна
4480;Волков Дмитрий Русланович;06.04.2007;6494 241367;448629023;55528;Факультет математики;11642;01.11.2021;;Коршунов Ян Владимирович
1232;Волкова Арина Андреевна;05.03.2007;9754 210164;435140921;69744;Факультет математики;14317;01.11.2022;;Кузнецова Ирина Сергеевна
6190;Воронцова Злата Данииловна;25.08.2007;4933 376288;901720110;69744;Факультет математики;14317;01.11.2021;;Леонтьев Фёдор Максимович
